period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,pred_qty_sold
201501,21529,41,42,23,19,19,27,15,18,15,9,12,13,7,NaN
201502,20822,61,38,23,22,20,16,25,5,13,17,16,17,6,NaN
201503,20626,43,49,24,27,21,21,14,12,10,6,12,11,8,NaN
201504,23450,66,48,33,31,27,18,20,18,10,12,11,15,11,NaN
201505,26375,59,61,35,40,29,20,17,13,16,14,20,8,11,NaN
201506,31597,70,90,55,38,36,28,17,13,17,13,21,28,18,NaN
201507,34383,95,90,53,38,37,24,14,16,22,20,25,28,12,NaN
201508,31193,83,86,38,28,19,14,22,16,16,20,33,28,17,NaN
201509,26090,79,72,33,22,24,23,11,23,21,32,35,33,14,NaN
201510,24844,69,53,39,30,16,18,13,25,21,36,35,28,9,NaN
201511,23760,68,58,25,17,19,18,25,29,24,25,17,26,5,NaN
201512,20272,56,58,32,32,24,29,29,30,26,19,27,19,10,NaN
201601,20876,45,49,21,11,27,31,25,38,15,18,8,16,6,NaN
201602,21250,50,36,27,24,22,31,23,20,19,10,10,12,9,NaN
201603,21551,54,41,32,28,26,30,31,20,15,10,8,10,15,NaN
201604,21894,50,66,31,33,33,29,23,20,13,8,13,13,7,NaN
201605,20738,64,62,54,33,32,23,12,15,19,12,7,22,12,NaN
201606,23979,85,80,59,45,26,13,17,16,12,14,16,28,11,NaN
201607,26086,91,84,53,32,21,17,15,14,16,11,30,27,15,NaN
201608,27525,94,83,36,17,20,10,19,11,13,18,31,29,15,NaN
201609,25082,52,54,19,23,17,19,18,23,16,25,20,18,17,NaN
201610,20549,60,37,23,19,18,13,20,20,23,23,22,23,7,NaN
201611,20061,46,39,31,19,17,17,23,24,23,16,18,17,6,NaN
201612,18191,44,49,33,26,20,19,16,23,20,22,13,14,10,NaN
201701,17417,51,48,19,18,12,14,35,20,13,14,8,11,8,NaN
201702,14722,54,29,22,17,23,20,19,18,16,15,9,8,5,NaN
201703,17422,42,37,22,30,20,19,13,18,6,10,12,7,6,NaN
201704,16117,76,43,39,14,31,13,11,12,13,9,8,12,4,NaN
201705,20999,47,55,29,28,22,25,13,15,10,11,13,19,17,NaN
201706,23443,71,44,38,33,35,13,17,10,12,12,13,23,16,NaN
201707,26064,68,63,32,24,21,18,11,14,17,17,22,18,9,NaN
201708,22524,58,50,37,25,21,17,8,11,23,20,13,17,7,NaN
201709,19560,52,50,17,14,17,6,9,11,14,16,18,18,11,NaN
201710,19273,44,37,14,13,6,11,21,21,15,22,24,13,7,NaN
201711,17126,28,36,19,12,22,12,17,17,16,13,18,19,3,NaN
201712,15432,29,26,16,15,22,23,18,16,17,19,19,13,12,NaN
201801,15311,34,39,14,16,15,11,14,16,13,8,10,11,4,NaN
201802,13352,43,31,27,13,11,11,11,21,15,9,9,10,4,NaN
201803,13878,28,36,20,14,23,17,20,15,10,9,11,16,2,NaN
201804,15380,30,41,24,16,22,16,14,14,12,10,18,13,7,NaN
201805,21365,52,32,32,19,28,14,8,13,14,13,12,12,8,NaN
201806,24351,59,56,38,18,11,15,15,12,16,22,11,16,12,NaN
201807,23755,47,72,26,16,20,14,14,12,9,11,16,26,15,NaN
201808,27328,64,49,28,15,12,10,10,6,7,10,13,14,9,NaN
201809,18858,66,35,30,13,13,10,11,14,8,11,12,11,6,NaN
201810,18393,51,33,22,11,10,5,12,15,8,26,14,21,4,NaN
201811,16720,37,37,18,13,10,16,8,13,16,18,13,7,4,NaN
201812,12848,42,32,16,17,14,10,13,11,13,17,15,6,4,NaN
201901,14455,25,11,12,18,9,17,13,13,18,12,12,7,2,873
201902,12495,27,16,18,20,16,18,15,8,13,5,14,12,5,1244
201903,12954,25,25,10,18,20,12,13,3,8,6,9,5,4,1240
201904,13564,28,32,19,24,13,19,8,5,5,7,7,5,4,1234
201905,16314,40,32,28,16,23,12,18,8,9,11,4,5,7,1536
201906,18949,44,51,25,20,9,11,10,4,7,6,9,8,7,852
201907,22992,56,44,22,15,12,15,14,13,8,12,9,8,12,1034
201908,17994,54,41,16,10,13,12,7,2,5,3,15,12,12,1406
201909,15611,28,43,7,7,7,6,4,5,8,12,14,14,3,1067
201910,15367,39,22,10,10,11,4,5,6,10,7,9,11,5,16928
201911,12008,35,30,10,11,8,10,8,8,6,6,5,9,6,14054
201912,10178,34,14,12,11,6,4,9,11,9,6,11,6,6,11227
202001,12707,22,22,8,5,3,6,18,9,11,11,11,7,6,14689
202002,10776,21,10,13,9,17,17,9,12,7,12,5,5,5,11349
202003,14985,24,15,12,12,8,16,16,6,8,3,5,9,8,11985
202004,10695,21,19,12,12,10,9,6,8,4,7,11,5,4,8437
202005,11393,27,17,14,11,7,10,3,8,6,4,9,6,5,13864
202006,18787,30,37,21,8,14,14,5,7,7,4,8,6,6,19668
202007,17538,32,26,14,21,11,7,4,7,8,2,12,14,5,22632
202008,15904,41,25,26,14,11,5,7,6,1,5,14,15,9,14412
202009,8885,31,19,8,8,10,6,4,5,10,10,13,6,1,9415
202010,5866,32,15,6,3,6,3,4,4,11,7,7,7,1,7590
202011,5413,27,23,7,5,8,1,6,15,9,10,2,8,2,6186
202012,4615,13,11,9,6,2,6,8,10,2,3,6,4,4,5458
202101,4371,26,10,8,7,6,7,7,6,7,1,2,2,2,5264
202102,4042,12,14,12,3,6,8,6,6,5,2,3,3,0,4528
202103,3231,18,9,8,14,2,7,6,6,2,4,3,4,0,4961
202104,3576,16,14,12,4,8,8,5,4,4,9,4,5,5,4468
202105,3938,12,21,11,11,12,6,4,2,5,5,3,5,2,4306
202106,6205,21,17,8,12,6,7,4,5,4,4,5,4,3,5795
202107,7335,21,11,24,10,7,2,4,2,4,0,3,7,3,6266
202108,6105,18,13,9,5,5,6,1,7,4,7,6,8,3,5600
202109,4055,16,11,3,4,3,5,1,3,4,3,4,7,2,4964
