period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,49330,246,249,138,119,112,99,86,102,113,134,151,160,71
201502,43859,233,197,95,97,69,77,112,112,129,117,118,138,72
201503,32138,153,145,105,84,77,96,89,99,97,91,121,116,52
201504,18219,120,124,80,77,89,93,115,97,101,90,102,86,38
201505,17025,103,93,64,112,109,89,101,106,113,103,98,94,56
201506,20095,107,92,104,108,92,110,89,104,98,87,80,82,36
201507,25003,107,130,118,109,88,101,116,112,101,87,90,99,57
201508,26086,171,251,142,152,130,141,125,118,102,113,132,153,66
201509,62393,284,336,235,191,208,194,173,131,126,143,129,180,90
201510,70565,285,344,229,186,195,180,145,166,167,168,175,187,109
201511,68435,279,288,233,185,156,123,154,150,144,154,175,190,67
201512,43224,262,283,222,177,138,163,170,229,202,204,188,175,103
201601,37324,208,239,163,118,140,189,240,190,161,163,166,137,81
201602,34870,176,178,122,124,171,180,176,130,153,114,152,122,65
201603,27724,166,149,119,146,147,163,114,149,117,116,113,140,48
201604,19709,113,149,123,128,140,101,90,97,92,91,111,94,49
201605,14591,132,120,137,124,118,121,103,99,86,84,71,102,59
201606,19357,128,169,156,132,97,129,109,87,100,69,94,151,86
201607,24553,98,164,125,139,107,95,115,90,76,85,140,153,93
201608,29701,114,187,186,141,116,88,122,83,93,149,162,177,92
201609,33181,179,215,172,143,123,144,98,123,189,193,262,249,115
201610,37753,178,261,166,135,130,112,125,151,214,262,228,176,94
201611,39573,174,201,112,134,100,100,123,151,159,159,171,146,68
201612,22096,137,137,131,79,119,130,137,144,104,115,120,107,42
201701,16909,133,127,76,75,82,85,104,81,95,94,95,73,44
201702,9568,79,82,70,63,82,67,78,64,88,59,67,71,32
201703,9448,46,67,57,56,56,45,53,61,57,40,47,46,27
201704,4589,56,63,58,52,39,45,47,38,39,39,30,35,16
201705,3837,35,32,41,42,33,45,39,36,20,25,26,19,17
201706,3237,44,45,34,45,49,37,32,32,33,20,23,37,12
201707,3155,52,65,42,49,28,33,30,30,25,25,42,33,15
201708,2960,59,66,63,22,33,39,37,30,29,44,41,16,13
201709,3850,47,70,30,29,25,38,19,36,28,24,28,35,12
201710,3009,56,38,48,28,24,23,25,35,26,17,23,34,15
201711,2762,30,49,29,22,19,28,28,16,15,19,20,18,11
201712,1311,23,31,23,10,15,17,15,18,14,15,22,11,6
201801,1486,24,22,12,9,12,14,7,23,20,11,7,9,3
201802,1662,17,17,9,15,8,7,5,9,6,9,7,3,2
201803,708,18,13,12,8,2,10,13,11,12,2,5,5,3
201804,782,13,10,13,9,8,7,5,9,6,1,2,7,2
201805,442,17,12,4,6,6,5,4,10,6,7,2,6,5
201806,674,18,7,6,6,4,6,6,2,6,4,2,4,2
201807,420,13,11,4,7,3,4,5,7,3,2,6,4,4
201808,309,15,9,9,4,4,4,9,5,4,3,2,8,5
201809,352,24,10,6,8,3,5,2,5,1,5,10,8,3
201810,191,20,15,10,9,4,1,7,4,7,5,6,9,4
201811,389,18,10,6,4,9,7,6,8,5,5,7,13,2
201812,369,14,9,11,4,4,5,8,3,2,2,7,5,3
201901,392,13,7,2,2,7,3,1,4,1,2,1,3,2
201902,120,10,5,4,1,1,1,3,2,3,2,2,2,1
